stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
7355,7355,"Ewing & 105th Street","Ewing & 105th Street, Northbound, Southeast Corner",41.7045114,-87.53519126,0,,1
7356,7356,"Ewing & 104th Street","Ewing & 104th Street, Northbound, Southeast Corner",41.7063184,-87.53518026,0,,1
7357,7357,"Ewing & 103rd Street","Ewing & 103rd Street, Northbound, Southeast Corner",41.7081694,-87.53518626,0,,1
7358,7358,"Ewing & 102nd Street","Ewing & 102nd Street, Northbound, Southeast Corner",41.70999116,-87.53514689,0,,1
7359,7359,"Ewing & 101st Street","Ewing & 101st Street, Northbound, Southeast Corner",41.71191316,-87.53515288,0,,1
7361,7361,"Ewing & 99th Street","Ewing & 99th Street, Northbound, Southeast Corner",41.71577815,-87.53513536,0,,1
7363,7363,"Ewing & 97th Street","Ewing & 97th Street, Northbound, Southeast Corner",41.71945915,-87.53515035,0,,1
7364,7364,"Ewing & 96th Street","Ewing & 96th Street, Northbound, Southeast Corner",41.72127559,-87.53519103,0,,1
7365,7365,"Ewing & 95th Street","Ewing & 95th Street, Northbound, Southeast Corner",41.72277359,-87.5362482,0,,1
7366,7366,"Ewing & 94th Street","Ewing & 94th Street, Northbound, Southeast Corner",41.72484329,-87.53797562,0,,1
7367,7367,"9320 S Ewing","9320 S Ewing, Northbound, Eastside of the Street",41.72673119,-87.5398765,0,,1
7370,7370,"91st Street & Buffalo","91st Street & Buffalo, Westbound, Northeast Corner",41.73023536,-87.54417784,0,,1
7372,7372,"91st Street & Brandon","91st Street & Brandon, Westbound, Northeast Corner",41.73018889,-87.54685509,0,,1
7374,7374,"Houston & 91st Street","Houston & 91st Street, Southbound, Southwest Corner",41.72992188,-87.54995498,0,,1
7376,7376,"92nd Street & Commercial","92nd Street & Commercial, Westbound, Northeast Corner",41.72831904,-87.55105879,0,,1
7377,7377,"92nd Street & Exchange","92nd Street & Exchange, Westbound, Northeast Corner",41.7283048,-87.55248733,0,,1
7378,7378,"9177 S South Chicago (CHA Building)","9177 S South Chicago (CHA Building), Northwestbound, Eastside of the Street",41.72875783,-87.55378471,0,,1
7379,7379,"South Chicago & Marquette Avenue","South Chicago & Marquette Avenue, Northwestbound, Eastside of the Street",41.73078123,-87.55656776,0,,1
7380,7380,"South Chicago & Colfax","South Chicago & Colfax, Northwestbound, Eastside of the Street",41.73294838,-87.55959677,0,,1
7381,7381,"South Chicago & Kingston","South Chicago & Kingston, Northwestbound, Southeast Corner",41.73513583,-87.56258072,0,,1
7382,7382,"South Chicago & 87th Street","South Chicago & 87th Street, Northwestbound, Southeast Corner",41.73708068,-87.56533286,0,,1
